,Year,SBT,GFS,GFE,GFN,CTN,CTS,LCM,la_temp,la_rainfall,la_temp_lag1
1529,1879,0.812,0.787,0.875,0.921,0.908,0.918,1.372,61.9,17.41,62.0
1530,1880,0.922,0.874,1.023,0.97,0.996,1.039,0.943,59.9,18.65,61.9
1531,1881,0.788,0.815,1.028,0.877,1.021,1.14,1.113,62.4,5.53,59.9
1532,1882,0.965,0.873,1.006,0.911,1.022,1.03,0.995,61.4,10.74,62.4
1533,1883,0.867,0.763,1.039,0.838,0.903,1.005,0.813,62.8,14.14,61.4
1534,1884,1.001,0.979,1.152,1.026,1.069,1.169,0.951,62.0,40.29,62.8
1535,1885,0.863,0.87,1.089,0.826,0.875,1.127,1.23,64.3,10.53,62.0
1536,1886,1.116,0.93,1.094,0.968,1.079,1.223,0.985,62.6,16.72,64.3
1537,1887,0.908,0.809,0.917,0.801,0.84,1.006,0.856,62.5,16.02,62.6
1538,1888,1.043,0.976,1.166,1.037,1.066,1.129,0.894,63.2,20.82,62.5
1539,1889,1.065,1.028,1.231,0.968,1.185,1.215,0.803,63.1,33.26,63.2
1540,1890,1.061,1.047,1.252,0.899,1.041,1.094,0.646,63.7,12.69,63.1
1541,1891,1.235,1.157,1.348,1.194,1.223,1.335,1.001,63.1,12.84,63.7
1542,1892,1.042,0.873,1.164,0.983,1.016,1.042,1.042,61.7,18.72,63.1
1543,1893,1.281,1.083,1.227,1.22,1.288,1.261,0.978,61.6,21.96,61.7
1544,1894,0.894,0.848,0.947,0.822,0.868,1.019,1.075,60.3,7.51,61.6
1545,1895,1.257,1.018,1.261,1.035,1.203,1.245,1.186,61.8,12.55,60.3
1546,1896,1.411,1.113,1.291,1.131,1.216,1.254,1.082,63.2,11.8,61.8
1547,1897,1.169,1.115,1.248,1.044,1.138,1.3,1.139,61.9,14.28,63.2
1548,1898,0.965,0.962,0.922,0.779,1.114,0.973,0.961,62.7,4.83,61.9
1549,1899,0.995,0.919,0.875,0.88,1.022,0.924,0.789,61.9,8.69,62.7
1550,1900,1.238,0.967,1.008,0.907,1.045,1.096,1.013,63.5,11.3,61.9
1551,1901,1.39,1.214,1.329,1.22,1.357,1.354,1.226,62.2,11.96,63.5
1552,1902,1.046,0.984,1.034,0.902,1.0,1.079,1.03,61.2,13.12,62.2
1553,1903,0.924,0.894,0.907,0.876,0.919,0.883,0.862,62.2,14.77,61.2
1554,1904,0.972,0.923,0.911,0.815,0.918,0.889,1.094,63.9,11.88,62.2
1555,1905,1.149,1.007,1.229,1.005,0.949,1.089,1.127,62.6,19.19,63.9
1559,1909,1.424,1.317,1.465,1.355,1.412,1.541,1.555,61.5,23.17,61.9
1560,1910,0.985,0.879,1.085,0.876,0.961,1.156,1.297,63.2,4.89,61.5
1561,1911,1.761,1.43,1.547,1.494,1.618,1.653,1.029,62.2,17.75,63.2
1562,1912,1.16,0.94,0.975,0.917,0.93,1.077,1.002,62.7,9.75,62.2
1563,1913,0.89,0.853,0.81,0.923,0.789,0.881,1.148,62.6,16.99,62.7
1566,1916,1.08,1.071,1.128,1.059,1.173,1.11,1.062,60.9,23.29,63.0
1567,1917,1.367,1.16,1.12,1.235,1.211,1.228,0.81,63.1,8.45,60.9
1568,1918,1.337,1.16,1.012,1.085,1.124,1.07,0.98,63.9,17.49,63.1
1569,1919,1.267,1.15,1.126,1.207,1.105,1.157,1.032,62.9,8.82,63.9
1570,1920,1.09,0.995,0.929,0.932,0.979,0.904,0.767,62.4,11.18,62.9
1571,1921,1.131,1.063,0.914,1.108,0.984,0.9,1.013,63.1,19.91,62.4
1572,1922,1.463,1.297,1.097,1.259,1.17,1.142,0.809,62.6,15.27,63.1
1573,1923,0.998,0.889,0.851,0.916,0.89,0.916,0.882,63.7,6.25,62.6
1574,1924,0.839,0.67,0.584,0.768,0.604,0.664,0.429,63.4,8.11,63.7
1575,1925,1.043,0.857,0.669,0.771,0.757,0.666,0.755,63.9,8.87,63.4
1576,1926,0.988,0.964,0.765,0.842,0.855,0.864,1.041,65.1,18.51,63.9
1577,1927,0.922,1.085,1.037,1.101,0.93,0.875,0.851,63.4,18.63,65.1
1578,1928,0.86,0.962,0.882,1.015,0.929,0.793,1.004,64.2,8.69,63.4
1579,1929,0.766,0.833,0.722,0.801,0.877,0.698,0.74,64.7,8.32,64.2
1580,1930,0.789,0.918,0.943,0.838,0.902,0.779,0.824,64.9,14.0,64.7
1581,1931,0.838,0.872,0.887,0.87,0.925,0.905,0.42,66.6,18.93,64.9
1582,1932,1.048,0.985,1.084,1.128,1.019,0.965,0.707,63.6,10.72,66.6
1583,1933,1.184,0.882,1.035,1.09,1.04,0.863,0.562,62.5,18.72,63.6
1584,1934,0.999,0.633,0.794,0.62,0.711,0.581,0.686,65.9,14.67,62.5
1585,1935,1.022,0.849,0.995,0.912,0.922,0.855,0.654,63.6,14.49,65.9
1586,1936,1.253,1.08,1.074,1.08,1.095,0.971,0.789,65.2,18.24,63.6
1587,1937,1.394,1.134,1.31,1.208,1.196,1.048,0.738,63.6,17.97,65.2
1588,1938,1.337,1.153,1.309,1.084,1.165,1.051,0.896,64.6,27.16,63.6
1589,1939,0.853,0.761,0.867,0.838,0.81,0.735,0.979,65.4,12.06,64.6
1590,1940,1.321,1.186,1.332,1.153,1.144,1.066,1.018,65.0,20.01,65.4
1591,1941,1.208,1.058,1.074,1.107,1.17,1.019,0.952,64.0,31.28,65.0
1592,1942,1.077,0.921,1.162,1.077,0.974,0.979,1.108,63.5,8.4,64.0
1593,1943,0.927,0.738,0.937,0.713,0.796,0.764,1.374,64.3,22.57,63.5
1594,1944,0.8,0.703,0.77,0.76,0.794,0.639,1.182,62.2,17.43,64.3
1595,1945,1.033,0.868,0.929,0.82,0.94,0.817,1.281,63.1,12.78,62.2
1596,1946,0.98,0.84,1.005,0.911,0.957,0.877,1.341,63.3,16.7,63.1
1597,1947,0.794,0.769,0.984,0.808,0.778,0.767,1.221,64.1,4.08,63.3
1598,1948,0.778,0.895,0.87,1.019,0.916,0.773,0.74,63.0,7.59,64.1
1599,1949,0.62,0.702,0.623,0.771,0.834,0.65,0.734,63.4,10.63,63.0
1600,1950,1.0,0.901,0.947,0.931,0.956,0.899,0.864,63.8,7.38,63.4
1601,1951,0.877,0.957,0.95,1.041,1.052,0.858,1.158,63.6,14.33,63.8
1602,1952,0.816,0.898,0.66,1.146,1.099,1.062,1.121,63.6,24.95,63.6
1603,1953,0.884,1.029,0.979,1.112,0.96,0.938,1.065,64.6,4.08,63.6
1604,1954,0.772,0.945,0.863,0.905,0.945,0.798,1.225,64.9,13.69,64.6
1605,1955,0.799,0.804,0.808,0.806,0.724,0.712,1.009,63.7,11.89,64.9
1606,1956,0.914,0.897,0.945,0.875,0.86,0.894,0.976,64.7,13.62,63.7
1607,1957,0.899,0.93,0.936,0.968,0.993,0.968,1.042,65.7,13.24,64.7
1608,1958,1.288,1.155,1.145,1.241,1.269,1.166,1.216,67.0,17.49,65.7
1609,1959,0.782,0.842,0.864,0.84,0.776,0.845,0.849,67.4,6.23,67.0
1610,1960,0.635,0.763,0.75,0.881,0.706,0.71,0.755,65.7,9.57,67.4
1611,1961,0.743,0.691,0.751,0.803,0.716,0.701,0.566,65.3,5.83,65.7
1612,1962,1.11,0.962,1.073,0.904,1.047,1.018,0.918,63.3,15.37,65.3
1613,1963,1.045,1.0,1.113,1.011,1.091,1.102,1.126,65.1,12.31,63.3
1614,1964,0.934,0.859,0.834,0.91,0.879,0.881,0.85,63.6,7.98,65.1
1615,1965,0.998,0.903,0.776,0.764,0.891,0.85,0.986,64.3,26.81,63.6
1616,1966,0.727,0.813,0.816,0.844,0.718,0.838,1.08,66.0,12.91,64.3
1617,1967,1.31,1.299,1.1,1.368,1.324,1.113,0.84,66.4,23.66,66.0
1618,1968,1.156,1.188,0.999,1.195,1.222,1.009,0.832,66.2,7.58,66.4
1619,1969,1.711,1.436,1.366,1.561,1.583,1.492,1.185,65.4,26.32,66.2
1620,1970,1.375,1.14,1.021,1.252,1.024,1.13,0.926,66.1,16.54,65.4
1621,1971,1.025,0.876,0.906,0.998,0.89,0.891,0.981,65.1,9.26,66.1
1622,1972,0.835,0.745,0.853,0.749,0.692,0.748,1.136,66.5,6.54,65.1
1623,1973,1.272,1.202,1.262,1.21,1.274,1.203,1.052,65.0,17.45,66.5
1624,1974,1.129,1.096,1.183,0.999,1.084,1.108,1.056,65.3,16.69,65.0
1625,1975,1.094,1.035,1.046,1.031,1.079,1.084,1.005,63.1,10.7,65.3
1626,1976,0.861,0.811,0.723,0.804,0.741,0.813,0.718,65.2,11.01,63.1
1627,1977,1.166,1.102,0.928,1.104,0.947,1.061,0.829,65.9,14.97,65.2
1628,1978,1.497,1.407,1.339,1.309,1.263,1.381,0.994,65.6,30.57,65.9
1629,1979,0.951,0.958,0.996,0.798,0.87,1.018,1.25,65.4,17.0,65.6
1630,1980,1.777,1.372,1.323,1.179,1.263,1.211,1.355,67.7,26.33,65.4
1631,1981,1.062,1.067,0.968,0.986,1.013,1.043,1.343,68.9,10.92,67.7
1632,1982,1.504,1.256,1.137,0.89,1.085,1.153,1.229,65.5,14.41,68.9
1633,1983,1.536,1.238,1.435,1.439,1.342,1.488,1.49,68.9,34.04,65.5
1634,1984,1.118,1.005,1.06,0.962,1.025,1.273,1.608,68.5,8.9,68.9
1635,1985,1.33,1.159,1.147,1.102,1.138,1.161,1.181,67.0,8.92,68.5
1636,1986,1.519,1.451,1.489,1.34,1.466,1.478,1.505,67.7,18.0,67.0
1637,1987,0.955,0.899,0.839,0.817,0.944,0.957,0.968,66.0,9.11,67.7
1638,1988,1.235,1.009,0.963,0.816,0.911,0.957,0.849,66.1,11.63,66.0
1639,1989,0.827,0.844,0.694,0.688,0.841,0.785,0.753,66.7,4.56,66.1
1640,1990,1.078,0.971,1.019,1.095,0.945,0.95,0.474,67.5,6.49,66.7
1641,1991,0.88,1.022,0.976,0.931,1.017,0.937,0.673,65.8,15.07,67.5
1642,1992,0.736,0.821,0.598,0.669,0.77,0.745,0.741,68.0,22.65,65.8
1643,1993,1.264,1.25,1.324,1.236,1.081,1.265,0.988,67.2,23.5,68.0
1644,1994,0.934,0.801,0.93,0.916,0.866,0.844,0.684,67.6,8.66,67.2
1645,1995,1.301,1.086,1.187,1.042,1.032,1.025,0.874,67.8,23.65,67.6
1646,1996,1.14,1.137,1.183,0.986,1.038,1.192,1.303,67.6,17.75,67.8
1647,1997,1.115,1.05,1.091,0.908,0.911,1.061,1.123,68.3,10.69,67.6
1648,1998,1.514,1.244,1.489,1.342,1.323,1.217,1.031,66.1,27.85,68.3
1649,1999,0.99,1.014,1.009,1.011,0.874,0.898,1.076,64.2,8.06,66.1
1650,2000,0.937,1.045,1.006,0.957,0.86,0.924,1.076,65.1,11.93,64.2
1651,2001,1.061,0.92,0.994,1.082,0.954,0.968,0.979,64.1,19.6,65.1
1652,2002,0.827,0.909,0.941,0.979,0.911,0.795,0.611,64.4,7.35,64.1
1653,2003,0.874,0.678,0.9,0.683,0.773,0.809,0.731,65.5,13.37,64.4
1654,2004,0.691,0.609,0.601,0.527,0.58,0.647,0.871,65.4,20.1,65.5
1655,2005,1.592,1.195,1.446,1.164,1.211,1.34,1.196,65.1,26.61,65.4
1656,2006,1.394,1.402,1.507,1.312,1.178,1.391,1.426,66.8,11.61,65.1
1657,2007,0.496,0.786,0.682,0.642,0.697,0.735,0.489,65.6,5.66,66.8
1658,2008,0.869,0.992,0.998,0.86,0.844,0.92,1.071,66.4,14.43,65.6
1659,2009,0.982,0.97,0.984,0.862,0.783,0.943,0.943,66.2,9.39,66.4
1660,2010,1.174,1.061,1.266,1.168,0.905,1.091,1.134,65.7,23.09,66.2
1661,2011,1.283,1.05,1.247,1.091,0.999,1.144,1.64,64.0,12.26,65.7
1662,2012,0.692,0.805,0.905,0.876,0.678,0.806,0.988,65.5,8.15,64.0
1663,2013,0.66,0.784,0.705,0.793,0.605,0.795,0.684,65.7,3.6,65.5
1664,2014,0.78,0.841,0.878,0.867,0.687,0.966,0.685,68.1,9.77,65.7
1665,2015,0.761,0.807,0.569,0.781,0.65,0.841,1.019,68.3,7.66,68.1
